name,type,ip,hostname,owner,business_unit,criticality,data_sensitivity
api-gateway-prod,Service,198.51.100.5,api.acme.com,api-team,Engineering,5,High
corp-firewall-01,Service,10.0.0.1,fw01.corp.acme.local,net-sec,IT Security,5,Moderate
dns-internal-01,Service,10.0.1.53,dns01.corp.acme.local,networking,IT Operations,4,Low
dns-internal-02,Service,10.0.1.54,dns02.corp.acme.local,networking,IT Operations,4,Low
ceo-laptop,HW,192.168.1.101,ceo-mbp.corp.acme.local,ceo,Executive,3,High
hr-app-server,Service,10.10.5.15,hr-app.corp.acme.local,hris-admin,HR,4,High
finance-fileserver,Service,10.20.2.100,fin-fs01.corp.acme.local,finance-it,Finance,3,High
marketing-wp,Service,203.0.113.50,blog.acme.com,marketing,Marketing,2,Low
dev-jumpbox,Service,10.50.1.5,dev-jump.corp.acme.local,devops,Engineering,3,Moderate
san-storage-array,HW,10.0.5.20,san01.corp.acme.local,storage-admins,IT Operations,5,High
vpn-concentrator,Service,203.0.113.100,vpn.acme.com,net-sec,IT Security,4,Moderate
conference-room-tv,HW,192.168.10.50,conf-tv-01.corp.acme.local,facilities-admin,Facilities,1,Low
